# decomp_pin	91b9789fa6539ea847998a6ed330fa748fa200ec
# upstream_path	canonical_path	upstream_status	build_transform	disposition
extern/dolphin/include/	src/melee_core/gameplay/extern/dolphin/include/	header-substrate	canonical-deltas	Dolphin SDK declaration/type substrate
src/**/*.h	src/melee_core/gameplay/src/**/*.h	header-substrate	canonical-deltas	decomp declaration/type substrate
src/melee/cm/camera.c	src/melee_core/gameplay/src/melee/cm/camera.c	NonMatching	0004-camera-retail-exactness.patch	compiled source owner; retail-DOL correction applied by historical patch 0004-camera-retail-exactness.patch
src/MSL/float.c	src/melee_core/gameplay/src/MSL/float.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/MSL/math_1.c	src/melee_core/gameplay/src/MSL/math_1.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/MSL/math_data.c	src/melee_core/gameplay/src/MSL/math_data.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/MSL/trigf.c	src/melee_core/gameplay/src/MSL/trigf.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCaptain/ftCa_Init.c	src/melee_core/gameplay/src/melee/ft/chara/ftCaptain/ftCa_Init.c	Matching	captain-source-packet	compiled canonical Captain Falcon lifecycle, state registry, and data-owner callbacks
src/melee/ft/chara/ftCaptain/ftCa_SpecialHi.c	src/melee_core/gameplay/src/melee/ft/chara/ftCaptain/ftCa_SpecialHi.c	Matching	captain-source-packet	compiled canonical Captain Falcon up-special and capture/release owner
src/melee/ft/chara/ftCaptain/ftCa_SpecialLw.c	src/melee_core/gameplay/src/melee/ft/chara/ftCaptain/ftCa_SpecialLw.c	Matching	captain-source-packet	compiled canonical Captain Falcon down-special owner
src/melee/ft/chara/ftCaptain/ftCa_SpecialN.c	src/melee_core/gameplay/src/melee/ft/chara/ftCaptain/ftCa_SpecialN.c	Matching	captain-source-packet	compiled canonical Captain Falcon neutral-special owner
src/melee/ft/chara/ftCaptain/ftCa_SpecialS.c	src/melee_core/gameplay/src/melee/ft/chara/ftCaptain/ftCa_SpecialS.c	Matching	captain-source-packet	compiled canonical Captain Falcon side-special owner
