# symbol	classification	core reachability	preserved behavior	source/evidence
efAsync_Spawn	headless effect projection	reachable	fixed-capacity source-order queue	refs/melee/src/melee/ef/efasync.c; immediate RNG and camera-quake effects retained
efAsync_QueueFlush	headless effect projection	reachable	reverse spawn-order dispatch	refs/melee/src/melee/ef/efasync.c::efAsync_QueueFlush
efAsync_QueueClear	headless effect projection	reachable	fixed-pool release	refs/melee/src/melee/ef/efasync.c::efAsync_QueueClear
efSync_Spawn	headless effect projection	reachable	DAT-backed immediate RNG projection	refs/melee/src/melee/ef/{efsync.c,efasync.c,efalt.c}; EfCoData.dat/EfFxData.dat
ftPe_8011BA54	source-gated outside-domain predicate	reachable	source-equivalent false	guarded outside Fox/two-human FD gameplay; see headless_exclusions.c source comments
ftPe_8011BAD8	source-gated outside-domain predicate	reachable	source-equivalent false	guarded outside Fox/two-human FD gameplay; see headless_exclusions.c source comments
un_80322258	crowd/audio bookkeeping exclusion	reachable	source-equivalent false	guarded outside Fox/two-human FD gameplay; see headless_exclusions.c source comments
un_803224DC	crowd/audio bookkeeping exclusion	reachable	source-equivalent false	guarded outside Fox/two-human FD gameplay; see headless_exclusions.c source comments
un_80322314	crowd/audio bookkeeping exclusion	reachable	no-op	refs/melee/src/melee/{ft/ftcommon.c::ftCommon_8007EFC8,sfx/crowdsfx.c::un_80322314}; only arms crowd audio state
ftCo_800A2040	source-gated outside-domain predicate	reachable	source-equivalent false	guarded outside Fox/two-human FD gameplay; see headless_exclusions.c source comments
efLib_DestroyAll	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
efLib_PauseAll	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
efLib_ResumeAll	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
efLib_SetParamAlpha	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
HSD_PadRumbleRemoveId	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
lbAudioAx_800263E8	headless positional-audio projection	reachable	zero-direction HSD_Randi(2), null audio owner	refs/melee/src/melee/{ft/ftaction.c::ftAction_80072320,lb/lbaudio_ax.c::{lbAudioAx_800263E8,fn_80025FAC}}
lbAudioAx_800264E4	headless positional-audio projection	reachable	source absent-owner result -1	refs/melee/src/melee/lb/lbaudio_ax.c::lbAudioAx_800264E4
lbAudioAx_80024304	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
lbBgFlash_80021C48	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
lbRefract_80022BB8	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
psInitDataBank	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
psInitDataBankLoad	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
lbAudioAx_800237A8	audio exclusion	reachable	zero audio handle	AX playback result is consumed only by excluded audio owners
lbAudioAx_80024184	audio exclusion	reachable	zero audio handle	AX playback result is consumed only by excluded audio owners
lbAudioAx_80024B94	audio exclusion	reachable	zero audio handle	AX playback result is consumed only by excluded audio owners
lbAudioAx_80024DC4	audio exclusion	reachable	zero audio handle	AX playback result is consumed only by excluded audio owners
lbAudioAx_80024FDC	audio exclusion	reachable	zero audio handle	AX playback result is consumed only by excluded audio owners
lbAudioAx_80024FF4	audio exclusion	reachable	zero audio handle	AX playback result is consumed only by excluded audio owners
lbAudioAx_8002500C	audio exclusion	reachable	zero audio handle	AX playback result is consumed only by excluded audio owners
lbAudioAx_80025038	audio exclusion	reachable	zero audio handle	AX playback result is consumed only by excluded audio owners
lbAudioAx_80026510	audio exclusion	reachable	zero audio handle	AX playback result is consumed only by excluded audio owners
lbAudioAx_800265C4	audio exclusion	reachable	zero audio handle	AX playback result is consumed only by excluded audio owners
lbAudioAx_800236B8	audio exclusion	reachable	zero audio handle	AX playback result is consumed only by excluded audio owners
ifStatus_802F69C0	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
ifStatus_802F6AF8	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
ifStatus_802F6C04	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
ifStatus_802F6D10	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
db_80225D64	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
db_80225DD8	presentation/audio exclusion	reachable	no-op	render/audio/particle-bank lifetime only; gameplay effect RNG is retained by runtime/effects.c
gm_80167470	headless match-scene exclusion	reachable	no-op	scene/UI reset only in fixed VS bootstrap
gm_8016B6E8	versus result bookkeeping exclusion	reachable	no-op	refs/melee/src/melee/{it/itzako.c::it_8027CE18,pl/plbonuslib.c::pl_8004049C,gm/gm_16AE.c::gm_8016B6E8}; result statistics do not feed gameplay
it_8026D324	items-off source gate	reachable	source-equivalent false	refs/melee/src/melee/it/itspawn.c::it_8026D324; supported match rules leave the ambient-item mask zero
lbAudioAx_80023870	audio exclusion	reachable	zero audio handle	AX playback omitted headlessly
un_80322598	crowd/audio bookkeeping exclusion	reachable	zero result	refs/melee/src/melee/sfx/crowdsfx.c::un_80322598
ifMagnify_802FB6E8	magnifier UI exclusion	reachable	zero result	magnifier presentation only; BrawlOffscreenDamage gameplay owner is retained
db_ShowItemPickupRange	debug UI exclusion	reachable	zero result	debug-only pickup-range display
HSD_PadRumbleAdd	rumble exclusion	reachable	zero result	controller motor presentation only
ftCo_800B3900	CPU-AI exclusion guard	unreachable for two human players	abort	refs/melee/src/melee/ft/chara/ftCommon/ftCo_0A01.c; caller is gated by ftCo_800A2040
lbRefract_PObjLoad	renderer projection	reachable during init	base PObj load only	refs/melee/src/melee/lb/lbrefract.c; GX refraction rewrite excluded
ftKb_SpecialN_800F1D24	non-Fox hook projection	reachable	source-equivalent no-op for Fox	refs/melee/src/melee/ft/chara/ftKirby/ftkirby.c
HSD_LObjAddCurrent	renderer/light exclusion	unreachable	named abort	headless bootstrap schedules no light/GX consumer
HSD_LObjClearFlags	renderer/light exclusion	unreachable	named abort	headless bootstrap schedules no light/GX consumer
HSD_LObjRemoveAll	renderer/light exclusion	unreachable	named abort	headless bootstrap schedules no light/GX consumer
HSD_LObjSetCurrentAll	renderer/light exclusion	unreachable	named abort	headless bootstrap schedules no light/GX consumer
HSD_LObjSetFlags	renderer/light exclusion	unreachable	named abort	headless bootstrap schedules no light/GX consumer
